ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
251
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+000 1.4276500000000000e+001
0.0000000000000000e+000 1.4276500000000000e+001
0.0000000000000000e+000 1.4276500000000000e+001
ITEM: ATOMS id type x y z 
1 1 0 0 0 
2 1 1.42765 1.42765 1.42765 
3 1 2.8553 0 0 
4 1 4.28295 1.42765 1.42765 
11 1 0 2.8553 0 
12 1 1.42765 4.28295 1.42765 
13 1 2.8553 2.8553 0 
14 1 4.28295 4.28295 1.42765 
51 1 0 0 2.8553 
52 1 1.42765 1.42765 4.28295 
53 1 2.8553 0 2.8553 
54 1 4.28295 1.42765 4.28295 
61 1 0 2.8553 2.8553 
62 1 1.42765 4.28295 4.28295 
63 1 2.8553 2.8553 2.8553 
64 1 4.28295 4.28295 4.28295 
251 2 1.42765 0 0 
5 1 5.7106 0 0 
6 1 7.13825 1.42765 1.42765 
7 1 8.5659 0 0 
15 1 5.7106 2.8553 0 
16 1 7.13825 4.28295 1.42765 
17 1 8.5659 2.8553 0 
55 1 5.7106 0 2.8553 
56 1 7.13825 1.42765 4.28295 
57 1 8.5659 0 2.8553 
65 1 5.7106 2.8553 2.8553 
66 1 7.13825 4.28295 4.28295 
67 1 8.5659 2.8553 2.8553 
8 1 9.99355 1.42765 1.42765 
9 1 11.4212 0 0 
10 1 12.8489 1.42765 1.42765 
18 1 9.99355 4.28295 1.42765 
19 1 11.4212 2.8553 0 
20 1 12.8489 4.28295 1.42765 
58 1 9.99355 1.42765 4.28295 
59 1 11.4212 0 2.8553 
60 1 12.8489 1.42765 4.28295 
68 1 9.99355 4.28295 4.28295 
69 1 11.4212 2.8553 2.8553 
70 1 12.8489 4.28295 4.28295 
21 1 0 5.7106 0 
22 1 1.42765 7.13825 1.42765 
23 1 2.8553 5.7106 0 
24 1 4.28295 7.13825 1.42765 
31 1 0 8.5659 0 
33 1 2.8553 8.5659 0 
71 1 0 5.7106 2.8553 
72 1 1.42765 7.13825 4.28295 
73 1 2.8553 5.7106 2.8553 
74 1 4.28295 7.13825 4.28295 
81 1 0 8.5659 2.8553 
83 1 2.8553 8.5659 2.8553 
25 1 5.7106 5.7106 0 
26 1 7.13825 7.13825 1.42765 
27 1 8.5659 5.7106 0 
35 1 5.7106 8.5659 0 
37 1 8.5659 8.5659 0 
75 1 5.7106 5.7106 2.8553 
76 1 7.13825 7.13825 4.28295 
77 1 8.5659 5.7106 2.8553 
85 1 5.7106 8.5659 2.8553 
87 1 8.5659 8.5659 2.8553 
28 1 9.99355 7.13825 1.42765 
29 1 11.4212 5.7106 0 
30 1 12.8489 7.13825 1.42765 
39 1 11.4212 8.5659 0 
78 1 9.99355 7.13825 4.28295 
79 1 11.4212 5.7106 2.8553 
80 1 12.8489 7.13825 4.28295 
89 1 11.4212 8.5659 2.8553 
32 1 1.42765 9.99355 1.42765 
